,כותרת,שם כותבת,הטקסט,,קטגוריה,רגש,ציטוט 1,קטגוריות ציטוט 1,רגש 1,ציטוט 2,קטגוריות ציטוט 2,רגש 2,ציטוט 3,קטגוריות ציטוט 3,רגש 3,ציטוט 4,קטגוריות ציטוט 4,רגש 4,ציטוט 5,קטגוריות ציטוט 5,רגש 5,ציטוט 6,קטגוריות ציטוט 6,רגש 6,ציטוט 7,קטגוריות ציטוט 7,רגש 7,ציטוט 8,,רגש 8,ציטוט 9,,רגש 9,ציטוט 10,,
1,ללא כותרת,צפנת בוהדנה,"<קטגוריה: זוגיות>איך נצליח לחזור לדבר?<קטגוריה: זוגיות/>
האם כשבחדשות יגידו מה הצפי למלחמה בצפון אצליח לשמוע מה הצפי
<קטגוריה: נפש>או אמשיך לשמוע את <רגש: בדידות>אימת הלבד<רגש: בדידות/><קטגוריה: נפש/>
בין החדרים בלילה
אף פעם בלי מספיק ידיים
בין החדרים בבוקר
<רגש: עייפות>מנסה לא להשאיר מטלות לאחר הצהריים<רגש: עייפות/>
בין החדרים של הלב אחרי ההרדמות כשאתה לא
זמין
בקו האש
<קטגוריה: נפש>וכל התרחישים באים לפני לאחל לי ליל מנוחה<קטגוריה: נפש/>
מה הצפי
לחזור לשמוע
את הצפי
<קטגוריה: זוגיות>לחזור לדבר איתך בלי שפתאום תלך לעוד רבע שנה
<רגש: בדידות>ותשאיר אותי ללמוד את החיים שעשינו בזוג
לבד<רגש: בדידות/><קטגוריה: זוגיות/>
<רגש: עייפות>בלי מספיק ידיים
עם יותר מדי חדרים<רגש: עייפות/>",,"נפש
זוגיות
","בדידות
עייפות
","תשאיר אותי ללמוד את החיים שעשינו בזוג לבד
",זוגיות,בדידות,בלי מספיק ידיים עם יותר מדי חדרים,גוף,עייפות,לחזור לדבר איתך בלי שפתאום תלך לעוד רבע שנה,זוגיות,תסכול,אמשיך לשמוע את אימת הלבד,נפש,בדידות,,,,,,,,,,,,,,,,,,
2,ללא כותרת,חנה אזולאי,"<קטגוריה:זוגיות>אני מנסה לא לדבר איתך<קטגוריה:זוגיות/>
<רגש:עייפות><רגש:בדידות>לא לשתף בלילות תת-קרקעיים
מסועפים, מעייפים
מכדי להחזיק לבד.<רגש:בדידות/><רגש:עייפות/>

<קטגוריה:נפש>הימים נמתחים מקצה
סגירת הדלת אחריך
ועד לחיצת ידך על הידית
שמשיבה אותנו למקומנו לימים
בודדים ומערערת מחדש
את הכל.<קטגוריה:נפש/>

היינו במיון, פעמיים. הדוד
שוב קיצר ויש רטיבות
חדשה על הקיר ליד
האמבטיה.
<קטגוריה:ילדים>הבן שלנו אמר לי שכל
""הותר לפרסום"" לא
עוזב אותו<קטגוריה:ילדים/>

והספל שקניתי לך ליום
הולדת ארבעים עם ""מודה אני"" של
מאיר אריאל נשבר
כששטפתי כלים.

<קטגוריה:זוגיות>מאה ואחד עשר ימים אני
מספרת לך הכל במחשבות
שלי. <רגש:תסכול>איך אחזור לדבר איתך
שוב?<רגש:תסכול/><קטגוריה:זוגיות/>",111,"נפש
זוגיות
ילדים","בדידות
עייפות
תסכול","לא לשתף בלילות תת-קרקעיים מסועפים, מעייפים מכדי להחזיק לבד",זוגיות,"בדידות
עייפות",איך אחזור לדבר איתך שוב?,זוגיות,תסכול,"הבן שלנו אמר לי שכל ""הותר לפרסום"" לא עוזב אותו",ילדים,תסכול,,,,,,,,,,,,,,,,,,,,,
3,ללא כותרת,מיטל קטבן דויטץ,"277 ימים.
לפעמים אני צריכה להיכנס לאתרי החדשות כדי לראות את המספר המדוייק
שהפך להיות חלק מהחיים שלנו.

277 ימים מהבוקר בו הוא בחר לצאת.
מהיום בו כתב לי שלא יהיה זמין.
משיחת הטלפון מהטיפול נמרץ במקום בו אני עובדת.
מהמשפט: מדברת יוליה מטיפול נמרץ, אברהם פה לידי,
הוא מבקש שתבואי.

<קטגוריה: נפש>מההבנה שלי מה זה טלפון מטיפול נמרץ.
<רגש: פחד>מהפחד שהוא מת.<רגש: פחד/><קטגוריה: נפש/>
מלחפש מישהו שייתן לי לדבר איתו.
<רגש: פחד>מחבר שלוקח אותי באוטו אליו כשברקע הרעש המפחיד של
תחילת מלחמה.<רגש: פחד/>

מלהגיע לסורוקה ולמצוא אותו פצוע קשה מאוד.
חי.
כאוב.
לא מרגיש את הרגליים.
חי.
בקושי מזיז את הידיים.
חי.

ומאז, <רגש: עייפות>כבר 277 ימים של סרט נע.<רגש: עייפות/>
ניתוח.
מעבר לשיקום אחרי כמה ימים.

תמימות שחשבתי שעוד מעט נצא על הרגליים.
פיזיותרפיה וריפוי בעיסוק.
שיחות עם רופאים, אחיות ועו״ס.
<קטגוריה: ילדים>למצוא סידור לילדים, ובמשך חודש כמעט לא לראות אותם.<קטגוריה: ילדים/>

לחזור איתם הביתה, ולהיקרע בין הרצון להיות איתו ואיתם.
למצוא פתרונות שהלב יכול להכיל.
<קטגוריה: ילדים>לנסוע אליו ולחשוב עליהם.<קטגוריה: ילדים/> <קטגוריה: זוגיות>להיות איתם ולחשוב עליו.<קטגוריה: זוגיות/>
<רגש: תסכול>לראות את בן הזוג החזק הזה שלי שתמיד היה מסוגל להכל,
פתאום לא יכול כל כך הרבה דברים.<רגש: תסכול/>

<רגש: עוצמה>לגלות בעצמי כוחות שבחיים לא הייתי מגלה.<רגש: עוצמה/>
<קטגוריה: זוגיות>לגלות בזוגיות שלנו עוצמות שלפעמים לא מגלים גם אחרי 50 שנות נישואים.<קטגוריה: זוגיות/>
<קטגוריה: תעסוקה>לקחת הפסקה מהעבודה<קטגוריה: תעסוקה/> ולהיות מכוונת בלי הפסקה אליו ואל הילדים.

להקים קבוצת חברות חדשות, אחיות בנפש,
שלכולן גורל משותף של פציעת בן זוג במלחמה הזאת.
למצוא את המקום שלי.
לדעת לבקש.
לדעת לקבל עזרה.
ללמוד עם הזמן לחזור קצת גם לתת.

לשמוח על כל שיפור קטן.
לנשום עמוק כשהרופאים לא ממש אופטימיים. להיאחז במה שכן.

להודות כל רגע שהוא פה. לידי.
ללמוד לחיות עם הפציעה.
לבחור לעשות מהלימון לימונדה, ולפעמים לשטוף פנים
אחרי שהלימון משפריץ חזק לעיניים.

<רגש: עוצמה>לבחור כל יום מחדש לקום בחיוך.<רגש: עוצמה/>
<רגש: חמלה>לחבק את הימים שאני קמה בבכי.<רגש: חמלה/>
<רגש: חמלה>להרשות לעצמי להתפרק.<רגש: חמלה/>
<רגש: עוצמה>לאסוף את עצמי בחזרה.<רגש: עוצמה/>

<קטגוריה: זוגיות><רגש: אהבה>לחזור להישען עליו.<רגש: אהבה/><קטגוריה: זוגיות/>
<רגש: תקווה>לחזור לתת לו תקווה.<רגש: תקווה/>
ללמוד
כל יום מחדש.
צעד צעד (או במקרה שלנו- גלגל גלגל)

277 ימים.
מי שהיינו, מי שאנחנו עכשיו, מי שנהיה.",277,"נפש
זוגיות
ילדים
תעסוקה","עוצמה
חמלה
תקווה
פחד
אהבה
תסכול
עייפות",מהפחד שהוא מת,נפש,פחד,כשברקע הרעש המפחיד של תחילת מלחמה,"ילדים
זוגיות",פחד,לראות את בן הזוג החזק הזה שלי שתמיד היה מסוגל להכל פתאום לא יכול כל כך הרבה דברים,זוגיות,תסכול,לגלות בעצמי כוחות שבחיים לא הייתי מגלה,תעסוקה,עוצמה,לבחור כל יום מחדש לקום בחיוך,זוגיות,עוצמה,להרשות לעצמי להתפרק,נפש,חמלה,לאסוף את עצמי בחזרה,נפש,עוצמה,לחזור להישען עליו,,אהבה,לחזור לתת לו תקווה,,תקווה,כבר 277 ימים של סרט נע,,עייפות
4,ללא כותרת, יעל שרבי הורביץ,"<קטגוריה: נפש><רגש: פחד>בוודאי שחשבתי על הגרוע מכל<רגש: פחד/><קטגוריה: נפש/>
דמיינתי אותו אלפי פעמים
אתה לא באמת רוצה לדעת
<רגש: פחד>איך הכנתי את עצמי נפשית לדפיקה בדלת<רגש: פחד/>
לחברים שבאים אבל אף אחד לא אומר את המילים הנכונות
<קטגוריה: ילדים>לשיחה קשה מנשוא עם הילדים<קטגוריה: ילדים/>
להדוף הררי אנשים עם כוונות טובות וטקט מינימלי
למשפחה שלא יודעת איך להרים עכשיו את הראש
<קטגוריה: זוגיות>לגעגוע שגורם לתקופה שעכשיו להיראות כמו קייטנה<קטגוריה: זוגיות/>
יש גם עוד סיטואציות, קצת פחות קיצוניות
שגם אליהם אני מעדיפה לא להגיע בהפתעה גמורה
זאת אומרת בכלל
למיטת בית חולים
חדר ניתוח
מכון פיזיותרפיה
הבנת את הקונספט
יש לי מחשבה כזאת
שאם תהיה לי תכנית התמודדות
זה לא יקרה
במציאות",,"נפש
זוגיות
ילדים
",פחד,בוודאי שחשבתי על הגרוע מכל,נפש,פחד,איך הכנתי את עצמי נפשית לדפיקה בדלת,נפש,פחד,,ילדים,,,,,,,,,,,,,,,,,,,,,,
5,ללא כותרת,אביגיל אסייג,"<קטגוריה: נפש>כשבעלי במילואים אין אותי<קטגוריה: נפש/>
אם קמתי בבוקר וארגנתי את הילדים בנחת אז אפשר לומר שזו הצלחה ענקית
גם אם אני מבלה חצי מהיום בנטפליקס

<קטגוריה: גוף>כשבעלי במילואים אני לא אוכלת
זאת אומרת, כן, אני ואכלת, אבל בעיקר שטויות
כי בשביל מה לבשל אוכל נורמלי? גם ככה הילדים אוכלים במסגרות<קטגוריה: גוף/>

<קטגוריה: גוף>כשבעלי במילואים אני לא ישנה
לא בשעות נורמליות
כי אני מנסה להתעייף ממש כדי שאוכל להירדם ממש מהר,
בלי שהמוח יתחיל לעבוד על טורבו ברגע שאני מניחה את הראש שלי
על הכרית.
אבל אז <רגש: עייפות>אני סוחבת עייפות לכל היום
ואמא עייפה היא אמא עצבנית<רגש: עייפות/>.<קטגוריה: גוף/>

<קטגוריה: תעסוקה>כשבעלי במילואים אני לא עובדת
כאילו עובדת קצת, ממש מינימום
נותנת מענה ללקוחות, מוציאה כמה תוכניות דחופות.
וברור שיש השלכות על העסק ועל ההכנסות (לא מדברים על זה מספיק)<קטגוריה: תעסוקה/>

ימים שבהם אני צריכה לצאת מהבית ולפגוש אנשים הם ההיילייט של השבוע שלי
כי יש לי סיבה להתלבש כמו שצריך ולהתאפר קצת
ולשים גם חיוך על הפנים

<קטגוריה: זוגיות><רגש: אהבה>כשבעלי במילואים הגעגוע הורג אותי<רגש: אהבה/>.
מצד שני הבית יותר מסודר, וזה מוזר.
בעיקר כי בעלי הוא זה שעושה הכל בבית
אני פה רק כדי להראות יפה ולבשל, כי כפרעליו לא יודע להכין חביתה.<קטגוריה: זוגיות/>

הוא זה שמפעיל כביסות ותולה אותן (אני מעבירה למייבש אחרי יומיים)
<קטגוריה: ילדים>הוא זה שקורא סיפור לילדים ומשכיב אותם לישון<קטגוריה: ילדים/>
(אני רק נותנת נשיקה וחיבוק ולילה טוב)
הוא זה שמוציא את הפלטה של שבת (זה ממש כבד!),
מוציא נייר טואלט לשירותים (כי החבילה גבוהה לי )
הוא זה ששוטף את החדרים והוא זה שמטאטא את החצר
כשהעץ מנשיר את העלים ומשקה את הצמחים.
הוא זה שמוציא פיתות מהמקפיא ערב קודם ושם בשקית כדי שיהיה לי קל יותר בבוקר
הוא זה שמתקשר אלי כל בוקר להעיר אותי ולומר לי בוקר טוב,
כי גם בשגרה הוא יוצא לפני 6 בבוקר
הוא זה שתומך, מעודד, משמח, נמצא
<קטגוריה: זוגיות>והתמונה היומית שאנחנו שולחים אחד לשני היא רק חיקוי חיוור
לקשר אמיתי.<קטגוריה: זוגיות/>

ואז נכנסים רגשות האשם – 
מה את בוכה כפרה? יש נשים שזה הסבב השלישי שלהן
הבעלים שלהן במקומות מסוכנים (ב""ה בעלי יחסית בטוח)
יש נשים שמחזיקות את הכל על הכתפיים שלהן והן ממשיכות כרגיל.

אז נכון שיש בי את הצד הזה גם
<רגש: חמלה>אבל מסתבר שיש מספיק כאב וגעגוע לכולם.<רגש: חמלה/>
וכשמקבלים אכזבות ובשורות קשות <רגש: תסכול>ואני רק רוצה להתפרק – 
אי אפשר, כי אין מי שיתפוס אותי.<רגש: תסכול/>

<קטגוריה: גוף><רגש: עייפות>לתפקד?
במינימום
השאר יחכה עד שהוא יחזור<רגש: עייפות/><קטגוריה: גוף/>

<קטגוריה: זוגיות><רגש: אהבה>וכדאי שתחזור מהר, אהוב ליבי, כי התרגלתי לישון באלכסון<רגש: אהבה/><קטגוריה: זוגיות/>
",,"נפש
גוף
זוגיות
ילדים
תעסוקה","אהבה
חמלה
עייפות
תסכול",אבל מסתבר שיש מספיק כאב וגעגוע לכולם,נפש,חמלה,כשבעלי במילואים הגעגוע הורג אותי,גוף,אהבה,אני סוחבת עייפות לכל היום ואמא עייפה היא אמא עצבנית,גוף,עייפות,לתפקד? במינימום השאר יחכה עד שהוא יחזור,תעסוקה,עייפות,"ואני רק רוצה להתפרק – אי אפשר, כי אין מי שיתפוס אותי",זוגיות,תסכול,,זוגיות,,,,,,,,,,,,,
6,בחזית העורף,טלי סנדרו איילון,"אני לא בחזית
אין רובה או אפוד,
אני לא במדים,
לא נותנים לי פקודות,
חוץ ממי שממש ממש חייבים -
הילדים העבודה,
בית הספר, חוגים.

<קטגוריה: ילדים>אני לא בתפקיד מטכ""לי,
כך נראה,
חוץ מאמא ואבא
במשרה מלאה,<קטגוריה: ילדים/>
פלוס נהגת בכירה,
גם מורה, מנקה,
צוות בידור,
ראש מדור הדחקה,
מבשלת ראשית
(גם עושה משלוחים),
מטפלת רגשית,
מרוקנת פחים,
מרדימה את כולם
ונשארת ערה,
כי בלילה בשקט
לא נותרת ברירה -

אין כבר מה לתקתק,
אין לאן להסיע,
<קטגוריה: נפש>וכשהבית דומם
אז הפחד מגיע.<קטגוריה: נפש/>
אני נועלת דלתות
וגם זה לא עוזר,
<רגש: בדידות>בשעות הקטנות
אין עם מי לדבר<רגש: בדידות/>
(אם לא מחשיבים
שיח עם המקרר).
וקַר לי עכשיו
וקודר פה בחורף.
<רגש: תסכול>אני לא בחזית,
רק ההיא מהעורף.<רגש: תסכול/>

<קטגוריה: גוף>ויש לי שמיכה וכרית,
לא שק""ש
אבל אפילו איתם
אני לא נרדמת ממש<קטגוריה: גוף/>
אני לא בלחימה
לא באוהל, בקור
המיטה די רכה
וכיביתי את האור
<קטגוריה: זוגיות>אבל אין לי
אותך
אז אין לי שינה,<קטגוריה: זוגיות/>
<רגש: תסכול>ויותר מהכל
אין לי שום הבנה.<רגש: תסכול/>

השלטים מכל עבר
מצהירים בענק:
ביחד ננצח,
העורף חזק
<רגש: עייפות>רק שהעורף - עייף
וה""ביחד"" - מזייף<רגש: עייפות/>
<קטגוריה: נפש>לא נושמת סדיר
שבועות לפחות,
הכדורים באוויר,
הזרועות נמתחות,
מתארכות, נמשכות
עד לסף שיגעון,
<רגש: עוצמה>כי בבית - אני
רצועת הביטחון.<רגש: עוצמה/><קטגוריה: נפש/>

<רגש: תסכול>אז תפקחו את העיניים
תחפשו את המבט
תספרו גם אותנו,
כל אחת ואחת,
רווקות, נשואות,
כן או לא אימהות
<רגש: גאווה>אנחנו לא בחזית,
אבל כל כך נלחמות.<רגש: גאווה/><רגש: תסכול/>",,"נפש
גוף
זוגיות
ילדים","עייפות
בדידות
תסכול
עוצמה
גאווה","רק שהעורף - עייף וה""ביחד"" - מזייף",נפש,עייפות,בשעות הקטנות אין עם מי לדבר,גוף,בדידות,אנחנו לא בחזית אבל כל כך נלחמות,"גוף
","תסכול
גאווה",ויותר מהכל אין לי שום הבנה,נפש,תסכול,אני לא בחזית רק ההיא מהעורף,"זוגיות
גוף",תסכול,כי בבית - אני רצועת הביטחון,,עוצמה,,,,,,,,,,,,
7,ללא כותרת,תמר שלם,"<קטגוריה: נפש><רגש: בדידות>הכי לבד<רגש: בדידות/><קטגוריה: נפש/>
ידעתי שנהרגו 4 חיילים בלילה. לפעמים בטלפון של הבוקר,
אני שומעת בקול של יוסי שקרה משהו עוד לפני שהוא מספר,
ולפעמים זה כבר פורסם ב ynet.

מדהים שהתרגלתי למציאות העקומה הזו.
<קטגוריה: זוגיות>יומיים או שלושה בשבוע הוא לא נמצא.<קטגוריה: זוגיות/>
גבר בן 50, שישן (בעיקר לא) במיטת שדה בבסיס אי שם.

הוא מנסה להסתיר אבל אני יודעת עם מה הוא מתעסק בחמל של האוגדה הדרומית שלו.
וזה לא מעט סידורי מוות.
<קטגוריה: זוגיות>היינו אמורים להיות רגילים לזה, הוא ואני, אבל עשרות ימי מילואים בשנה,
לא יכולים להכין אף אחד למלחמה האיומה הזו.<קטגוריה: זוגיות/>

אי אפשר להבין איך בבוקר חג, מקפיצים אדם ושוכחים להחזיר.

<קטגוריה: נפש>האמת היא שזו לא התרגלות, זו התנתקות. כדי לתפקד, או לא להרגיש
או שניהם.<קטגוריה: נפש/>
בהתחלה, הייתי עסוקה בנס שקרה לנו.
שכנעתי את עצמי שאני מוכנה לוותר על הכל.
<קטגוריה: ילדים>העיקר שהדר לא היתה בבסיס שלה ברעים בבוקר האין חג ההוא.
קיבלנו אותה במתנה אמרתי ליוסי. לא חטפו אותה לא אנסו ולא רצחו.<קטגוריה: ילדים/>
עם כל השאר נתמודד.

<קטגוריה: נפש>כאילו זה שלא קרה אסון נורא, מוחק את הקשיים שמגיעים אחר כך.<קטגוריה: נפש/>

<רגש: תסכול>ואז הימים התארכו לשבועות בלי שום אור בקצה,<רגש: תסכול/>
<קטגוריה: ילדים>ואלעד היה חייב לשבור את הרגל. ואני, הכירורגית הגדולה,
התעקשתי במשך כמה ימים שזה נקע,<קטגוריה: ילדים/>
הבנתי שזו לא עוד תקופת מילואים,
ושאני חייבת ללמוד איך לתפקד ממש בתוך האי ידיעה הבלתי נגמרת הזו.

<רגש: תסכול><קטגוריה: תעסוקה>כשקולגה נחמדה במיוחד, במסווה של עזרה העמיסה עלי,
ועוד אמרה שאני מגזימה ו״לא כולם מגיבים ככה״,<קטגוריה: תעסוקה/>
הבנתי את עומק השבר.<רגש: תסכול/>
<קטגוריה: נפש><רגש: בדידות>בסוף, זה הכי לבד.<רגש: בדידות/><קטגוריה: נפש/>
אולי באמת אי אפשר לצפות ממי שלא עובר את אותם הדברים להבנה, ואולי כן.
<רגש: בדידות>בכל מקרה זה לבד.<רגש: בדידות/> <רגש: עוצמה>ולימדתי את עצמי להתקשח ולתפקד.<רגש: עוצמה/>

<רגש: תסכול>אבל בערב החג, כשהייתי צריכה לעצור ולחשב כמה חגים כבר עברו מאז, זה היה יותר מידי.<רגש: תסכול/>
השלט הענק בכיכר המרכזית של העיר, שעוד חושב שביחד ננצח,
המעצר האלים של ד״ר אודי בהרב שניסה לטפל בפצועה,
העברת חוק לילי שמאפשר השתמטות של צעירים בריאים,
שחרור חטופים ומוות של מפקד, סיקור פולשני ללא הפסקה של כל מה שקשור בזה,
<קטגוריה: ילדים>הצו הראשון של אלעד שהיה עסוק רק בזה שלא יורידו לו פרופיל בגלל
הרגל ששבר,<קטגוריה: ילדים/>
<קטגוריה: ילדים>הדר שסוגרת חג בבסיס המסוכן שלה,<קטגוריה: ילדים/> ואז הותר לפרסום.

ידעתי שנהרגו 4 חיילים בלילה, אבל לא ידעתי שאיתן קרלסברון ז״ל גר ברחוב הסמוך.
כשיצאתי להסיע את אורי לתנועת הנוער שלה,
בתזמון בלתי אפשרי שעבר בו האמבולנס והרכב שנושא את הארון,
כמו חיכתה לנו השיירה בפתח הרחוב שלנו.
מאות אנשים בטור אינסופי, מתרכזים בכיכרות ובצידי הדרך.
מחזיקים בידיהם דגלי ישראל גדולים ועצובים.
מהשכונה המבודדת שלנו עד בית העלמין בקצה השני של העיר.

<קטגוריה: נפש>בכיתי מיד.<קטגוריה: נפש/> <קטגוריה: ילדים>לא הצלחתי לעצור אפילו שחשבתי שזה לא נכון ליד אורי.<קטגוריה: ילדים/>
אבל אז, לאחר שהורדתי אותה הבנתי שזה היה רק הפרומו, 
<קטגוריה: נפש>ופרץ ממני הבכי האמיתי.<קטגוריה: נפש/>
<קטגוריה: נפש>התייפחתי ממש. אלוהים. זו היתה נסיעה בתוך שקט מצמית.<קטגוריה: נפש/>
<קטגוריה: נפש>כאב אינסופי.<קטגוריה: נפש/>
האוויר היה כבד כל כך, כאילו מילאו אותו באדי מים.
<קטגוריה: גוף>הקושי לנשום היה אמיתי. האויר הזה לא התאים לנשימה.<קטגוריה: גוף/>

כשעברתי בדרך חזור שוב ליד השלט הענק יחד ננצח,
חשבתי שיש דברים ששייכים לשישה באוקטובר,
ושיש דברים שכבר אי אפשר לדעת למה הם שייכים.
",,"נפש
גוף
זוגיות
ילדים
תעסוקה","בדידות
תסכול
עוצמה",,נפש,,,נפש,,,נפש,,,גוף,,,ילדים,,,גוף,,,,,,,,,,,,,
8,ללא כותרת, ירדן ירחי,"<רגש:בדידות>לוגיסטית אני מסתדרת. מה שגומר אותי זאת הבדידות.<רגש:בדידות/>
<קטגוריה: ילדים>הידיעה בערבים עם הילדים שאין מי שיבוא להציל אותי -
מה שיש לי זה כל מה שיש, אין ולא יהיו הפתעות.<קטגוריה: ילדים/>
אז סיימי את הערב הזה עם הכוחות שיש לך,
תדליקי מזגן על 21 וכנסי מתחת לפוך כי מחר אותו דבר!

היו כמה שירים שליוו אותי במלחמה.
התחלנו ביחד עם כולם עם יהיה טוב.
<קטגוריה: נפש>הייתה לי את התקופה של ""יש הרבה לאהוב, יותר מידי לאבד..
זכיתי שיש על מה לפחד"" -
שיר שהרגיע את הלב ברגעים של חרדה.<קטגוריה: נפש/>

<רגש:עייפות>היו את הימים של עורי עור (מולדת אהובה! כי אנחנו עייפים מאוד זקוקים למנוחה.
איזה בבקשה טריוויאלית הא? מנוחה!)<רגש:עייפות/>

אחר כך היו את הימים של ""אני בא הביתה מהלילה"" של דני רובס,
לפני השחרור מהסבב הראשון (אחרי 5 חודשים!!!)

ואז היו חודשיים מוזרים ביותר
<רגש:תסכול>שהסאונד העיקרי שליווה אותם הוא תקתוק שעון שסופר לי לאחור את הימים.<רגש:תסכול/>

<רגש:תסכול>היום (5 שבועות לתוך סבב ב) יש שקט.
אין לי עצבים לשירים.<רגש:תסכול/>
<קטגוריה: נפש>שואלים אותי מה שלומי אני עונה שמעדיפה לא להתעסק עם זה.<קטגוריה: נפש/>
מה שלומי? עבר עוד יום, וזה סבבה.

<רגש:תקווה>יודעת שיבואו ימים לשקם הכל.<רגש:תקווה/> עכשיו סותמת את האף וצוללת,
<קטגוריה: ילדים>מכינה פתיתים, מארגנת יום הולדת לילדה,
קונה לקטן חוברת צביעה של סמי הכבאי שהוא ביקש מזמן,<קטגוריה: ילדים/>
עושה קניות במכולת היקרה ליד הבית כי למי יש כוח ליסוע וגם למי אכפת.

<קטגוריה: זוגיות>והזוגיות, כפרה עליה. אין לי כוח אליה.
מפחדת להתרגל אליו, כשהוא מגיע מוצאת את עצמי שומרת מרחק,
נשארת בקונטרול, מפחדת. כשהוא עומד ללכת יורדת עלי עננה,
כמה פעמים אפשר לנהל פרידה אחרונה?
אחרי כל ביקור בבית? כל שיחת טלפון? די אינעל דינאק,
לתת משמעות לדברים זה קטע מתיש.<קטגוריה: זוגיות/>

מה עוד?
<רגש:בדידות>גיליתי שהתקופות בהן אני הכי זקוקה לחברות
הן בדיוק התקופות בהן אין לי את הכוחות שצריך כדי לתחזק חברויות.
והן הולכות ונשמטות ממני לאט. שוב הבדידות הזאת, סעמק.<רגש:בדידות/>

<רגש:בדידות>המשפט אם אין אני לי מי לי הוא אמת.
כשאני תולה תקוות באחרים אני בסוף הכי נדפקת.<רגש:בדידות/>
<רגש:חמלה>רחמים עצמיים זה סבבה, אני נעה עם הגלים וזה גם סבבה,
ולפעמים אפילו יש לי כוח ואני עושה דברים טובים וזה נעים!<רגש:חמלה/>

<רגש:תקווה>מה שמחזיק אותי בסופו של דבר זה רגשות פטריוטיים,<רגש:תקווה/>
למרות שמאוד קשה לאתר אותם כרגע
בתוך הבלאגן הפנימי שלי וזה החיצוני שהולך במדינה.
<רגש:תקווה>מזכירה לעצמי ולילדים למען מה אנחנו שם
ויודעת בעומק שאסתכל אחורה עוד שנים ואשמח שעשיתי את הדבר הנכון.<רגש:תקווה/>

זה לא סיכום, כי לא סיימנו,
זה סתם עוד אחד מהנוטס (אחד מהפחות מסווגים שלי).
זה לא סיכום כי לא נגמרה תקופה. זה רק עוד יום שעבר
וזאת רק אני שמחכה כבר להתחבר לבוקסה
ולשים את שיר אחרי מלחמה ולקוות לטוב.
",,"נפש
זוגיות
ילדים","בדידות
עייפות
חמלה
תסכול",מה שגומר אותי זאת הבדידות,נפש,,מפחדת להתרגל אליו,זוגיות,,כמה פעמים אפשר לנהל פרידה אחרונה,זוגיות,,,,,,,,,,,,,,,,,,,,,,
9,ללא כותרת,מאיה כץ הילבורג,"תכף שלושה חודשים. רבעון. 
אז מה היא בעצם עושה כל היום?
<קטגוריה: גוף>היא קובעת תור לרופאה (ועוד רופא ועוד רופאה)
מוציאה מרשם ואוספת תרופה<קטגוריה: גוף/>
משחדת בשוקולד, מבטיחה הפתעות
שולחת טפסים, מוציאה התחייבויות
<רגש:עייפות>מתעוררת בלילה שלוש פעמים<רגש:עייפות/>
כי עברו מטוסים
כי צריך להחליף
כי היו פספוסים
<רגש:עייפות>מתעוררת בבוקר מוקדם מכולם<רגש:עייפות/>
<קטגוריה: ילדים>מעירה מנשקת ומכינה כריכים לכולם
עוטפת מחברות
<רגש:אהבה>עוטפת במילים, 
עוטפת ברוך<רגש:אהבה/>
מסיעה בחזור, מסיעה בהלוך
מסיעה לבית הספר
לחוג
לחבר
עושה שיעורים ופרויקט, ומהר
ורגע לפני השכבה
היא לומדת להכתבה.<קטגוריה: ילדים/>
היא מכינה ארוחת בוקר וצהריים וערב
היא מכבסת ותולה ומקפלת כל גרב
היא בטלפון עם המורה ועם היועצת ועם המדריכה
היא מוציאה את הזבל
ואת הכלבה.
<קטגוריה: תעסוקה>היא עובדת במשרה מלאה
שעתיים של נסיעה
<קטגוריה: ילדים>וחוזרת בזמן 
לאסוף מהגן<קטגוריה: ילדים/>
ולהשלים שעות
בלילות.<קטגוריה: תעסוקה/>
היא נוסעת למשק לאסוף משלוח
<קטגוריה: תעסוקה>היא עונה במייל לאיזה לקוח<קטגוריה: תעסוקה/>
היא מכינה עוגה וספגטי ומקלפת תפוז
מעבירה על השיש סמרטוט חפוז.
<קטגוריה: ילדים>היא מחבקת כשלא ברור אם זה יירוט או רעם
שומעת שחבל שאבא לא פה 
כי הוא לא צועק אף פעם, 
<רגש:אהבה>ומקלחת וסיפור ועוד חיבוק ונשיקה<רגש:אהבה/>
ועוד סיפור ויאללה להיכנס כבר למיטה.<קטגוריה: ילדים/>
<רגש:בדידות>היא יושבת לבד מול החדשות
<קטגוריה: נפש>בוכה לבד מול בשורות קשות<קטגוריה: נפש/><רגש:בדידות/>
<רגש:אהבה>והיא יודעת שממש עוד מעט
הוא יחזור
וכולם יגידו ""איזה גיבור"".
(והוא באמת גיבור).<רגש:אהבה/>",,"נפש
גוף
ילדים
תעסוקה","עייפות
בדידות
אהבה",שומעת שחבל שאבא לא פה ,ילדים,,היא עובדת במשרה מלאה,תעסוקה,,מוציאה מרשם ואוספת תרופה,גוף,,בוכה לבד מול בשורות קשות,נפש,,,,,,,,,,,,,,,,,,,
